data_year,ori,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,county_name,agency_type_name,population_group_desc,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
2018,TX1011700,Seabrook,,TX,West South Central,South,HARRIS,City,"Cities from 10,000 thru 24,999",13958,21,4,25,5,4,9,26,8,34,2.44
2018,TX1200000,Jackson,,TX,West South Central,South,JACKSON,County,"Non-MSA counties under 10,000",6977,12,9,21,0,13,13,12,22,34,4.87
2018,TX1350000,King,,TX,West South Central,South,KING,County,"Non-MSA counties under 10,000",296,1,0,1,0,0,0,1,0,1,3.38
2018,TX1390000,Lamar,,TX,West South Central,South,LAMAR,County,"Non-MSA counties from 10,000 thru 24,999",21361,,,,,,,,,,
2018,TX1400000,Lamb,,TX,West South Central,South,LAMB,County,"Non-MSA counties under 10,000",4129,9,8,17,1,9,10,10,17,27,6.54
2018,TX1520800,Wolfforth,,TX,West South Central,South,LUBBOCK,City,"Cities from 2,500 thru 9,999",5131,11,0,11,0,1,1,11,1,12,2.34
2018,TX1700000,Montgomery,,TX,West South Central,South,MONTGOMERY,County,"MSA counties 100,000 or over",469874,440,194,634,59,216,275,499,410,909,1.93
2018,TX1840100,Weatherford,,TX,West South Central,South,PARKER,City,"Cities from 25,000 thru 49,999",31389,,,,,,,,,,
2018,TX1870800,Onalaska,,TX,West South Central,South,POLK,City,"Cities from 2,500 thru 9,999",2771,6,0,6,1,0,1,7,0,7,2.53
2018,TX1950000,Reeves,,TX,West South Central,South,REEVES,County,"Non-MSA counties under 10,000",5363,,,,,,,,,,
2018,TX220750X,Southwestern Baptist Theological Seminary,,TX,West South Central,South,TARRANT,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX2500400,Quitman,,TX,West South Central,South,WOOD,City,"Cities under 2,500",1826,,,,,,,,,,
2018,TX0180900,Walnut Springs Police Department,,TX,West South Central,South,BOSQUE,City,"Cities under 2,500",845,,,,,,,,,,
2018,TX0250000,Brown,,TX,West South Central,South,BROWN,County,"Non-MSA counties from 10,000 thru 24,999",14601,28,22,50,2,16,18,30,38,68,4.66
2018,TX0290200,Port Lavaca,,TX,West South Central,South,CALHOUN,City,"Cities from 10,000 thru 24,999",12214,16,0,16,3,6,9,19,6,25,2.05
2018,TX0670300,Gorman,,TX,West South Central,South,EASTLAND,City,"Cities under 2,500",1038,2,0,2,0,2,2,2,2,4,3.85
2018,TX0671200,Cisco College,,TX,West South Central,South,EASTLAND,University or College,"Cities under 2,500",0,1,0,1,0,0,0,1,0,1,
2018,TX0720400,Tarleton State University,,TX,West South Central,South,ERATH,University or College,"Cities under 2,500",0,12,0,12,3,4,7,15,4,19,
2018,TX0840900,Texas City,,TX,West South Central,South,GALVESTON,City,"Cities from 25,000 thru 49,999",49044,76,7,83,8,19,27,84,26,110,2.24
2018,TX0890000,Gonzales,,TX,West South Central,South,GONZALES,County,"Non-MSA counties under 10,000",9683,19,15,34,1,17,18,20,32,52,5.37
2018,TX0990000,Hardeman,,TX,West South Central,South,HARDEMAN,County,"Non-MSA counties under 10,000",3277,,,,,,,,,,
2018,TX1012800,Nassau Bay,,TX,West South Central,South,HARRIS,City,"Cities from 2,500 thru 9,999",4058,11,0,11,1,1,2,12,1,13,3.20
2018,TX1017000,Independent School District:,Spring Branch,TX,West South Central,South,HARRIS,Other,"Cities under 2,500",0,,,,,,,,,,
2018,TX1040100,Haskell,,TX,West South Central,South,HASKELL,City,"Cities from 2,500 thru 9,999",3204,5,1,6,0,0,0,5,1,6,1.87
2018,TX1410000,Lampasas,,TX,West South Central,South,LAMPASAS,County,"MSA counties from 10,000 thru 24,999",10556,16,8,24,1,12,13,17,20,37,3.51
2018,TX1471100,Independent School District:,Mexia,TX,West South Central,South,LIMESTONE,Other,"Cities under 2,500",0,,,,,,,,,,
2018,TX1551000,Northcrest,,TX,West South Central,South,MCLENNAN,City,"Cities under 2,500",0,,,,,,,,,,
2018,TX2020200,Pineland,,TX,West South Central,South,SABINE,City,"Cities under 2,500",805,,,,,,,,,,
2018,TX2201200,Fort Worth,,TX,West South Central,South,PARKER; DENTON; TARRANT,City,"Cities from 500,000 thru 999,999",893756,1470,157,1627,224,281,505,1694,438,2132,2.39
2018,TX2202800,Westworth,,TX,West South Central,South,TARRANT,City,"Cities from 2,500 thru 9,999",2763,11,0,11,1,5,6,12,5,17,6.15
2018,TX2270200,Manor,,TX,West South Central,South,TRAVIS,City,"Cities from 10,000 thru 24,999",10102,20,0,20,5,6,11,25,6,31,3.07
2018,TX2530000,Zapata,,TX,West South Central,South,ZAPATA,County,"Non-MSA counties from 10,000 thru 24,999",14316,,,,,,,,,,
